Telekom Srbija a.d., Beograd;11 2369000;11 2370999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2379000;11 2382999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2390000;11 2469999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2471000;11 2477999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2491000;11 2497999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11 2500000;11 2529999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;11 2540000;11 2549999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2560000;13 2564999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2566000;13 2566999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;13 2570000;13 2581999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;10 500000;10 501999;1.4.2012;1.4.2022
ORION TELEKOM;10 510000;10 519999;17.12.2010;17.6.2019
ORION TELEKOM;13 2589000;11 2589999;10.6.2017;10.6.2027
ORION TELEKOM;13 2600000;11 2639999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2641000;11 2648999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2650000;11 2653999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2655000;11 2676999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2681000;11 2688999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;21 2690000;21 2699999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2710000;21 2719999;10.6.2017;10.6.2027
ORION TELEKOM;11 2721000;21 2723999;10.6.2017;10.6.2027
ORION TELEKOM;11 2731000;21 2732999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2740000;11 2743999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2746000;11 2746999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2748000;11 2748999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;10 2750000;10 2790999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;10 2797000;10 2798999;10.6.2017;10.6.2027
SERBIA BROADBAND - SRPSKE KABLOVSKE MREŽE;10 2810000;10 2812999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2830000;11 2839999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2850000;11 2853999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2860000;11 2864999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2880000;11 2899999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2910000;11 2910999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2920000;11 2920999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2927000;11 2929999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2960000;11 2960999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2970000;11 2972999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2979000;11 2980999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 2990000;11 2994999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3010000;11 3077999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3079000;11 3122999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3129000;11 3133999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3135000;11 3135999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3139000;11 3143999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3148000;11 3149999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3160000;11 3198999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3200000;11 3249999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3281000;11 3288999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3290000;11 3295999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3300000;11 3310999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3312000;11 3349999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3370000;11 3371999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3372000;11 3372999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3373000;11 3374999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3376000;11 3377999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3379000;11 3380999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3390000;11 3393999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3398000;11 3405999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3408000;11 3449999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3460000;11 3463999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3467000;11 3479999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3490000;11 3490999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3492000;11 3494999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3510000;11 3515999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3530000;11 3559999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3561000;11 3565999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3570000;11 3575999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3576000;11 3576999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3577000;11 3577999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3581000;11 3587999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3591000;11 3596999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3600000;11 3631999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3634000;11 3644999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3645000;11 3645999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3650000;11 3652999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3655000;11 3655999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3657000;11 3657999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3659000;11 3660999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3662000;11 3665999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3670000;11 3672999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3673000;11 3673999;8.1.2018;8.1.2028
Telekom Srbija a.d., Beograd;11 3674000;11 3679999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3690000;11 3696999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3698000;11 3699999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3713000;11 3716999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3718000;11 3718999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3730000;11 3733999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3739000;11 3739999;10.6.2017;10.6.2027
Telekom Srbija a.d., Beograd;11 3750000;11 3757999;10.6.2017;10.6.2027
